,Unnamed: 0,title,港股,国内财经,基金,美股,期货,生活,外汇,证券,classify,检验
0,0,"盈信控股8月15日回购333万股 耗资383万港币
",4,2,3,4,2,1,2,5,港股,港股
1,1,"午评：沪股通净流入1.9亿 深股通净流入3.79亿
",6,3,4,0,0,0,0,6,港股,港股
2,2,"交银国际:医药行业周报
",2,0,0,0,1,0,1,0,港股,港股
3,3,"又一个铝价多头 国泰君安：电解铝每吨2万不是梦
",0,2,0,1,1,3,0,1,证券,生活
4,4,"传Uber或接受软银滴滴等投资 总额可达120亿美元
",2,2,3,4,2,3,2,3,美股,美股
5,5,"电脑也会失手?大型电脑运算对冲基金今年成了赔钱货
",0,0,1,2,3,1,0,0,美股,美股
6,6,"创业板VS雄安新区 周期过后谁将接力？
",0,2,0,4,4,0,0,3,证券,证券
7,7,"恒指先升后回吐 失守20天线
",1,0,0,0,0,1,0,2,证券,港股
8,8,"《权证天下》腾讯绩前先升后回？ 跌穿10天线追PUT
",1,1,1,0,1,0,0,0,证券,证券
9,9,"午评：创指二度上攻涨1.22%沪指跌0.18% 次新股…
",5,2,2,2,4,2,0,7,证券,证券
10,10,"互联网安全大会即将召开 概念股大幅拉升
",1,1,0,3,2,0,0,4,证券,证券
11,11,"快讯：河北省省长许勤视察先河环保 股价直线涨近7%
",7,1,0,0,1,0,0,5,证券,证券
12,12,"Future Mobility完成新一轮2亿美元融资
",2,1,1,5,2,3,2,4,美股,美股
13,13,"遭机构清仓式减持后 暴风集团还要拿会员费抵押融资
",0,0,0,0,1,1,1,1,证券,证券
14,14,"沪指低迷创指走强重回1800 两市显跷跷板
",2,1,2,1,2,0,0,3,证券,证券
15,15,"快讯：沪指弱势下探跌0.51% 创指走高涨0.99%
",5,1,2,0,1,1,0,3,证券,证券
16,16,"次新股盘中走高 9只个股涨停
",3,2,2,1,1,0,0,4,证券,证券
17,17,"iFOREX:黄金1275看空 欧元1.1750看空
",2,2,1,0,0,3,5,2,外汇,外汇
18,18,"快讯：次新股盘中走高 9只个股涨停
",5,2,2,1,1,0,0,5,证券,证券
19,19,"电子板块盘中拉升 英飞特澄天伟业纷纷涨停
",2,0,1,0,0,0,0,2,证券,证券
20,20,"全国楼市库存量33个月新低 三四线政策宽周期将逆转
",1,5,1,5,6,0,1,4,国内财经,国内财经
21,21,"风电概念股盘初强势 节能风电嘉泽新能涨停
",3,1,1,1,1,0,0,5,证券,证券
22,22,"金钻集团:美零售销售强劲 朝服软刺激风险偏好
",0,0,0,1,0,0,3,0,外汇,外汇
23,23,"风电概念股盘初强势 节能风电嘉泽新能涨停
",3,1,1,1,1,0,0,5,证券,证券
24,24,"特朗普颁布行政令 欲加快基础设施项目环评速度
",0,0,0,1,0,0,1,0,美股,美股
25,25,"电子板块盘中拉升 英飞特澄天伟业纷纷涨停
",2,0,1,0,0,0,0,2,证券,证券
26,26,"专访高盛王胜祖:人民币不会持续升值 流动性继续偏紧
",0,2,0,3,1,1,0,0,国内财经,国内财经
27,27,"资源股回调明显 有色金属领跌
",1,0,0,0,1,0,0,2,证券,证券
28,28,"资源股回调明显 有色金属领跌
",1,0,0,0,1,0,0,2,证券,证券
29,29,"发改委谈下半年促投资重点：全面推进165项重大工程
",1,2,1,1,0,1,0,0,国内财经,国内财经
30,30,"新鸿基金融:美股周一高收 港股跟随外围高开121点
",4,3,3,4,2,3,1,5,港股,港股
31,31,"快讯：创指强势上攻涨逾1% 次新股功不可没
",5,3,1,2,1,2,0,5,证券,证券
32,32,"央行：7月外汇占款余额减少46.47亿元 至21.5万…
",5,5,4,1,1,3,1,5,国内财经,国内财经
33,33,"第一上海：中报期逐步过去   市场走向分化发展
",2,2,1,1,2,3,0,2,港股,港股
34,34,"次新股快速走强 华大基因涨停
",3,1,1,1,1,0,0,4,证券,证券
35,35,"新华社：不能让拦路法规阻碍外商投资
",0,3,0,2,1,1,0,1,国内财经,国内财经
36,36,"第一上海:期指高台受压 调整压力仍在
",2,2,0,2,1,3,0,2,港股,港股
37,37,"智通港股早知道|8月16日
",7,2,3,3,2,0,2,6,证券,证券
38,38,"中国平安：剑指富国银行搞零售，平安银行不良率略增
",2,3,0,3,1,1,1,1,证券,证券
39,39,"智通财经×老虎证券港美股投资沙龙
",3,1,1,1,0,0,0,2,证券,证券
40,40,"贵人资本:料港股近期高位反复，可留意低估值蓝筹
",4,0,1,1,1,0,0,3,港股,港股
41,41,"牛汇:黄金兵败不得不退守防线
",0,1,0,1,0,1,4,0,外汇,外汇
42,42,"快讯：券商板块异动拉升 东方财富涨逾3%
",4,0,1,0,0,0,0,2,证券,证券
43,43,"牛汇:美政局已成缩表拦路虎 美元绝地反弹料昙花一现
",2,0,0,3,1,2,5,0,外汇,外汇
44,44,"南华金融:　腾讯业绩前 恒指料20天线争持
",3,1,0,0,0,1,1,3,港股,港股
45,45,"房屋租赁板块早盘强势 市北高新大涨逾9%
",2,1,0,1,1,0,0,2,证券,证券
46,46,"达州帮又一要员举牌成都路桥 资本争夺不确定性增大
",0,1,1,1,0,2,0,0,证券,证券
47,47,"财科院院长：政府特许经营已不合时宜
",0,1,0,1,0,1,0,0,国内财经,证券
48,48,"雄安新区路边标语耳目一新：凝各方之智 办国家大事
",0,1,0,1,1,2,0,2,国内财经,国内财经
49,49,"5G概念股异动拉升 国民技术涨停
",3,0,1,0,0,1,0,4,证券,证券
50,50,"AETOS艾拓思:零售数据超出预期 美元指数突飞猛进
",1,0,0,4,2,1,5,1,外汇,外汇
51,51,"创业板逆势翻红 再次站上1800点
",2,1,1,2,2,1,0,1,证券,证券
52,52,"盘中惊现三大异象 两类股成领涨新王牌
",3,1,0,1,1,0,0,3,证券,证券
53,53,"内银股续炒降准憧憬 建行现涨近2%工行亦升近1%
",3,1,1,0,0,1,0,3,港股,港股
54,54,"涨价概念股全线回调 方大炭素丰元股份跌停
",4,0,0,0,1,1,0,4,证券,证券
55,55,"5G概念股异动拉升 国民技术涨停
",3,0,1,0,0,1,0,4,证券,证券
56,56,"【个股分析】 万洲国际值长线持有
",2,1,0,0,1,0,1,2,证券,证券
57,57,"兴业证券：天伦燃气收购优质项目 发力工业用户
",1,0,0,0,0,1,0,0,港股,港股
58,58,"【名家专栏】 港铁深圳“天颂”带动中期业绩
",1,0,2,0,1,1,0,2,证券,证券
59,59,"一代浙商渐渐老去谁来接班：子女接班意愿偏低
",0,1,0,0,0,1,0,0,国内财经,国内财经
60,60,"快讯：稀土等涨价概念股集体回调 丰元股份等3股跌停
",6,0,0,0,1,2,0,5,证券,证券
61,61,"期货概念股早盘走强 中国中期强势涨停
",6,2,1,2,4,0,1,4,证券,证券
62,62,"申万宏源:恒指周二于20天平均线水平徘徊
",1,0,0,0,0,1,0,2,港股,港股
63,63,"快讯：华润啤酒获高瓴资本增持 股价涨近6%
",6,0,0,0,0,0,0,5,港股,港股
64,64,"期货概念股早盘走强 中国中期强势涨停
",6,2,1,2,4,0,1,4,证券,证券
65,65,"港股通标的调整在即，谁会是下一个IGG？
",4,2,1,2,1,1,0,4,证券,证券
66,66,"租售同权概念股盘初强势走高 市北高新领涨
",3,1,0,1,1,0,0,4,证券,证券
67,67,"快讯：两市再现“跷跷板” 沪指跌0.53%创指涨0.3…
",5,0,1,0,1,1,0,3,证券,证券
68,68,"国泰君安:银行行业  7月份M2同比增速差于预期
",2,3,1,1,2,1,1,3,港股,港股
69,69,"美银美林调查：高达46%的投资者认为股市估值过高
",1,1,1,2,0,0,0,2,美股,美股
70,70,"8月16日10点交易员正关注要闻
",4,2,2,7,2,0,2,3,美股,美股
71,71,"方大炭素早盘直线下挫 盘中一度跌停
",0,0,0,0,1,1,0,0,证券,证券
72,72,"快讯：华大基因低开高走 再封涨停板
",4,0,1,0,0,0,0,2,证券,证券
73,73,"快讯：宜宾纸业开盘跌停 已连续两日跌停
",3,0,0,1,1,0,1,2,证券,证券
74,74,"耀才证券陈伟聪﹕腾讯业绩将左右后市去向
",2,2,0,3,1,0,0,2,港股,港股
75,75,"苹果概念股持续爆发 多只基金提早布局坐享红利
",1,0,2,2,1,0,0,3,证券,证券
76,76,"违规邮币卡交易遭严打 江苏两家交易所已暂时下架
",0,0,0,1,0,2,0,1,证券,证券
77,77,"煤炭采选板块快速走强 露天煤业涨停
",2,0,1,0,0,0,0,2,证券,证券
78,78,"英皇证券：大市续整固 绿地香港中短线皆宜
",1,0,1,0,0,0,0,0,港股,港股
79,79,"奇牛国际:美国CPI靓丽 美元上冲刺破94
",2,0,0,5,2,2,4,0,外汇,外汇
80,80,"快讯：期货概念股直线拉升 中国中期封涨停板
",8,2,1,2,4,0,1,5,证券,证券
81,81,"中国金洋:地缘政局消息继续降温 美国经济数据理想
",2,4,0,7,1,0,2,0,港股,港股
82,82,"煤炭板块逆势上扬 保险等板块跌幅居前
",0,0,0,0,1,2,0,1,证券,证券
